Game Number,Gamemode,Result,Winner,Game Length,Starting Cell,Final Board State
1279,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', ' ', 'O', 'X', ' ', 'O', 'X', ' ']"
1280,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'X', 'X', 'O', 'O', ' ', 'O']"
1281,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'X', 'O', 'X', 'O', 'X']"
1282,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'X', 'X', 'O', 'X', 'O']"
1283,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'O', ' ', 'X', 'O', 'O', ' ', 'X']"
1284,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', ' ', 'X', 'X', 'O', 'O', 'O']"
1285,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'O', 'X', 'X', 'X', 'O', 'X']"
1286,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', ' ', 'O', 'X', ' ', ' ', 'X', 'O']"
1287,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'X', 'O', 'X', 'O', 'O', 'X']"
1288,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', ' ', 'X', 'O', 'X', 'O', 'O', 'O']"
1289,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'X', 'O', ' ', 'O', 'X', 'O']"
1290,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', 'O', 'O', 'X', 'O', 'X', ' ']"
1291,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'O', 'X', 'X', 'O', 'O', 'X']"
1292,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', 'O', 'O', ' ', 'O', 'X', 'X']"
1293,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', 'O', 'X', 'X', 'O', ' ', 'X']"
1294,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'X']"
1295,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'X', 'X', 'O', 'O', 'X', 'O']"
1296,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', ' ', ' ', 'X', ' ', 'O', 'X', 'O']"
1297,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'O', ' ', 'O', ' ', 'X', 'X', 'X']"
1298,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'X', 'O', 'O', 'O', 'X']"
1299,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', 'O', ' ', 'X', ' ', 'O', 'X', ' ']"
1300,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'O', 'O', 'X', 'O', 'X']"
1301,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', 'X', 'O', ' ', ' ', 'O', 'O']"
1302,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'X', 'X', 'O', 'O', 'X']"
1303,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', ' ', 'X', 'X', 'X', 'O', 'O', ' ']"
1304,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', 'O', 'O', ' ', 'O', ' ', 'X']"
1305,"('Simulation Play', 'Random')",Winner,X,7,2,"[' ', 'X', ' ', 'X', 'X', 'O', 'O', 'X', 'O']"
1306,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', 'O', ' ', 'X', ' ', ' ', 'X', 'O']"
1307,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'O']"
1308,"('Simulation Play', 'Random')",Winner,O,6,2,"['O', 'X', ' ', 'X', 'O', ' ', 'X', ' ', 'O']"
1309,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'O', 'X', 'X', 'O', 'X']"
1310,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', 'O', 'O', ' ', 'X', ' ', 'O']"
1311,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'X', 'O', 'X', 'O', 'X']"
1312,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'X', 'O', 'X', 'O', 'X', 'O', 'O']"
1313,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'O', 'X', 'X', 'O', 'X']"
1314,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'O', 'X', 'O', 'X', 'X', 'X']"
1315,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', ' ', 'O', 'X', 'O', ' ', 'O', 'X']"
1316,"('Simulation Play', 'Random')",Winner,X,5,2,"['X', 'X', 'X', ' ', ' ', ' ', 'O', 'O', ' ']"
1317,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', ' ', 'X', 'O', 'O', 'X', 'X', 'O']"
1318,"('Simulation Play', 'Random')",Winner,X,5,2,"['O', 'X', 'O', ' ', 'X', ' ', ' ', 'X', ' ']"
1319,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'O', 'X', 'X', 'O', 'X', 'O']"
1320,"('Simulation Play', 'Random')",Winner,O,6,2,"['O', 'X', ' ', 'O', ' ', 'X', 'O', 'X', ' ']"
1321,"('Simulation Play', 'Random')",Winner,O,6,2,"[' ', 'X', 'X', ' ', 'X', ' ', 'O', 'O', 'O']"
1322,"('Simulation Play', 'Random')",Winner,O,6,2,"[' ', 'X', 'X', 'O', 'O', 'O', ' ', ' ', 'X']"
1323,"('Simulation Play', 'Random')",Winner,O,8,2,"[' ', 'X', 'X', 'X', 'X', 'O', 'O', 'O', 'O']"
1324,"('Simulation Play', 'Random')",Winner,O,6,2,"['O', 'X', ' ', 'X', 'O', ' ', 'X', ' ', 'O']"
1325,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'X', 'O', 'X', 'O', 'O', 'X']"
1326,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'X', 'O', ' ', 'O', 'X', 'O']"
1327,"('Simulation Play', 'Random')",Winner,X,5,2,"['X', 'X', 'X', 'O', ' ', ' ', ' ', 'O', ' ']"
1328,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'X', 'X', 'O', 'O', 'O', 'X']"
1329,"('Simulation Play', 'Random')",Winner,O,6,2,"['O', 'X', 'X', ' ', 'O', ' ', ' ', 'X', 'O']"
1330,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', ' ', 'O', 'O', 'X', 'O', 'X', 'X']"
1331,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'X', 'X', 'O', 'O', 'O', 'X']"
1332,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'X', 'O', 'X', ' ', 'X', ' ', 'O']"
1333,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'X', 'X', 'X', 'O', 'O']"
1334,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'O', 'O', 'X', 'X', 'X']"
1335,"('Simulation Play', 'Random')",Winner,X,7,2,"[' ', 'X', 'O', 'O', 'O', ' ', 'X', 'X', 'X']"
1336,"('Simulation Play', 'Random')",Winner,X,5,2,"['X', 'X', 'X', ' ', 'O', ' ', ' ', ' ', 'O']"
1337,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'O', 'X', 'X', 'X', 'X', 'O']"
1338,"('Simulation Play', 'Random')",Winner,X,7,2,"[' ', 'X', 'O', 'X', 'X', 'X', 'O', 'O', ' ']"
1339,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'O', 'X', 'X', 'X', 'O', 'X']"
1340,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', ' ', 'O', 'X', ' ', 'O', 'O', 'X']"
1341,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'X', 'X', 'O', 'X', 'O', 'O']"
1342,"('Simulation Play', 'Random')",Winner,O,6,2,"['X', 'X', ' ', 'O', 'O', 'O', 'X', ' ', ' ']"
1343,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'O', 'X', 'X', 'X', 'O', 'X']"
1344,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'X']"
1345,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', ' ', 'X', 'X', 'O', 'O', 'O']"
1346,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', ' ', 'X', 'O', ' ', 'X', 'O', 'O']"
1347,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', ' ', 'O', 'X', 'O', 'O', ' ', 'X']"
1348,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'X', 'O', 'O', 'X', 'O', 'X']"
1349,"('Simulation Play', 'Random')",Winner,O,6,2,"[' ', 'X', 'O', 'X', 'O', ' ', 'O', ' ', 'X']"
1350,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'O', ' ', 'O', 'X', 'X', 'O']"
1351,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'X', 'O', 'O', 'X', 'O', 'O', 'X']"
1352,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'X', 'X', 'X', 'O', 'O']"
1353,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'X', 'O', 'O', 'O', 'X']"
1354,"('Simulation Play', 'Random')",Winner,X,5,2,"['X', 'X', 'X', 'O', 'O', ' ', ' ', ' ', ' ']"
1355,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'O', 'O', ' ', ' ', 'X', 'X', 'X']"
1356,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'O', 'X', 'X', 'X', 'X', 'O']"
1357,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'O', 'X', 'X', 'X', 'O', ' ', ' ']"
1358,"('Simulation Play', 'Random')",Winner,X,7,2,"[' ', 'X', 'O', 'O', 'X', 'X', 'O', 'X', ' ']"
1359,"('Simulation Play', 'Random')",Winner,O,6,2,"[' ', 'X', 'X', ' ', 'X', ' ', 'O', 'O', 'O']"
1360,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'O', 'O', 'O', 'X', 'X']"
1361,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'O', 'X', 'O', ' ', 'X', ' ', 'O']"
1362,"('Simulation Play', 'Random')",Winner,O,6,2,"['X', 'X', 'O', ' ', 'X', 'O', ' ', ' ', 'O']"
1363,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'O', 'O', 'O', 'X', 'X']"
1364,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'X', 'X', 'O', 'O', 'O', 'O', 'X']"
1365,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', 'X', ' ', 'O', 'X', 'X', 'O']"
1366,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'O', 'O', 'X', 'X', 'X']"
1367,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', ' ', 'O', 'O', 'O', 'X', 'X', 'O']"
1368,"('Simulation Play', 'Random')",Winner,O,6,2,"[' ', 'X', ' ', ' ', 'X', 'X', 'O', 'O', 'O']"
1369,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', 'O', 'X', 'X', 'O', ' ', 'X']"
1370,"('Simulation Play', 'Random')",Winner,O,6,2,"[' ', 'X', 'X', 'X', ' ', ' ', 'O', 'O', 'O']"
1371,"('Simulation Play', 'Random')",Draw,None,9,2,"['X', 'X', 'O', 'O', 'X', 'X', 'X', 'O', 'O']"
1372,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'X', 'O', 'X', 'O', 'O', ' ']"
1373,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'O', 'X', 'X', 'X', ' ', 'O', ' ']"
1374,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', 'X', 'O', 'X', ' ', 'X', 'O']"
1375,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', 'X', 'O', 'X', ' ', 'O', 'O']"
1376,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'X', 'O', 'X', 'O', ' ', 'O']"
1377,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'X', 'X', 'O', 'O', 'X', 'O']"
1378,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'X', 'O', 'O', 'O', 'X']"
1379,"('Simulation Play', 'Random')",Winner,X,7,2,"[' ', 'X', 'O', 'O', 'X', 'O', ' ', 'X', 'X']"
1380,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'O', 'X', ' ', ' ', 'X', 'O', 'O']"
1381,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'X', 'X', 'X', 'O', 'O']"
1382,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'X', 'O', 'O', 'X', ' ', ' ', 'X']"
1383,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'O', ' ', 'O', 'X', 'X', 'O']"
1384,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'X', 'X', 'X', 'O', 'O']"
1385,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'X', 'X', 'O', 'X', 'O', 'X']"
1386,"('Simulation Play', 'Random')",Winner,X,5,2,"['O', 'X', ' ', ' ', 'X', ' ', ' ', 'X', 'O']"
1387,"('Simulation Play', 'Random')",Winner,X,5,2,"['O', 'X', ' ', 'O', 'X', ' ', ' ', 'X', ' ']"
1388,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'X', 'X', 'X', 'O', 'O']"
1389,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'O', 'O', 'O', 'X', 'X']"
1390,"('Simulation Play', 'Random')",Winner,X,5,2,"['O', 'X', ' ', ' ', 'X', ' ', ' ', 'X', 'O']"
1391,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'X', 'X', 'O', 'O', 'O', 'X']"
1392,"('Simulation Play', 'Random')",Winner,O,8,2,"[' ', 'X', 'X', 'O', 'O', 'O', 'X', 'X', 'O']"
1393,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', 'O', ' ', 'X', ' ', ' ', 'X', 'O']"
1394,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'X', 'O', 'O', 'X', 'O', 'X']"
1395,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'O', 'X', 'O', 'X', 'X', 'X']"
1396,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', 'O', ' ', 'X', ' ', ' ', 'X', 'O']"
1397,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'O', 'O', 'X', 'O', ' ', 'X', ' ']"
1398,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', ' ', 'X', 'X', 'O', ' ', 'X', 'O']"
1399,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'O', 'O', 'X', 'X', 'X', 'X']"
1400,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'X', 'O', 'O', 'O', ' ', 'X']"
1401,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'O', 'O', 'X', 'O', 'X']"
1402,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', 'X', 'X', ' ', 'O', 'O', 'O']"
1403,"('Simulation Play', 'Random')",Winner,X,7,2,"[' ', 'X', 'X', 'O', 'O', 'X', 'O', ' ', 'X']"
1404,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'O', 'X', 'O', 'O', 'X', ' ', ' ']"
1405,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'X', 'X', 'O', 'O', 'O', 'O', 'X']"
1406,"('Simulation Play', 'Random')",Winner,O,6,2,"['X', 'X', 'O', ' ', 'O', ' ', 'O', ' ', 'X']"
1407,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'X', 'O', 'O', ' ', 'X', 'O']"
1408,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', 'O', 'X', 'X', 'O', ' ', 'X']"
1409,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'O', 'O', 'X', 'O', 'X']"
1410,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', ' ', 'O', 'X', 'X', 'X', 'O']"
1411,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', 'X', 'O', 'X', ' ', 'X', 'O']"
1412,"('Simulation Play', 'Random')",Winner,X,5,2,"['O', 'X', ' ', ' ', 'X', 'O', ' ', 'X', ' ']"
1413,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', ' ', 'X', 'O', 'O', 'X', ' ', 'O']"
1414,"('Simulation Play', 'Random')",Winner,O,6,2,"['X', 'X', 'O', ' ', ' ', 'O', ' ', 'X', 'O']"
1415,"('Simulation Play', 'Random')",Winner,X,5,2,"['O', 'X', ' ', ' ', 'X', ' ', ' ', 'X', 'O']"
1416,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'X', 'O', 'O', 'X', 'O', 'X', 'O']"
1417,"('Simulation Play', 'Random')",Winner,O,6,2,"['X', 'X', ' ', 'O', 'O', 'O', ' ', 'X', ' ']"
1418,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', 'X', 'O', 'X', ' ', 'X', 'O']"
1419,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', 'O', 'X', ' ', 'O', 'O', 'X']"
1420,"('Simulation Play', 'Random')",Winner,X,5,2,"['X', 'X', 'X', ' ', 'O', 'O', ' ', ' ', ' ']"
1421,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', ' ', 'O', 'X', 'O', 'X', 'O']"
1422,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', ' ', 'X', 'X', 'O', ' ', 'X', 'O']"
1423,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'O', 'X', 'X', 'X', 'X', 'O']"
1424,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', ' ', 'O', 'X', 'O', 'O', 'X']"
1425,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'X', 'O', 'X', 'O', 'X']"
1426,"('Simulation Play', 'Random')",Winner,O,6,2,"[' ', 'X', ' ', 'O', 'O', 'O', 'X', ' ', 'X']"
1427,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', 'O', 'O', 'O', 'X', ' ', 'X']"
1428,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', 'O', 'X', ' ', 'O', 'O', 'X']"
1429,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'X']"
1430,"('Simulation Play', 'Random')",Winner,O,6,2,"[' ', 'X', 'X', ' ', ' ', 'X', 'O', 'O', 'O']"
1431,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', ' ', 'O', 'X', 'X', ' ', 'X', 'O']"
1432,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'X', 'X', 'O', 'X', 'O', 'X']"
1433,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'X', 'X', 'X', 'O', 'O']"
1434,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'X', 'O', 'X', 'O', 'X']"
1435,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', ' ', 'O', 'X', ' ', ' ', 'X', 'O']"
1436,"('Simulation Play', 'Random')",Winner,O,6,2,"['X', 'X', 'O', ' ', ' ', 'O', 'X', ' ', 'O']"
1437,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'O', 'X', 'X', 'O', 'X']"
1438,"('Simulation Play', 'Random')",Winner,X,7,2,"[' ', 'X', 'O', 'O', ' ', 'O', 'X', 'X', 'X']"
1439,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'O', 'X', 'O', 'X', 'O', 'X']"
1440,"('Simulation Play', 'Random')",Winner,O,8,2,"[' ', 'X', 'O', 'X', 'O', 'X', 'O', 'O', 'X']"
1441,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'X', 'O', 'X', ' ', 'X', ' ', 'O']"
1442,"('Simulation Play', 'Random')",Winner,O,6,2,"['X', 'X', ' ', ' ', ' ', 'X', 'O', 'O', 'O']"
1443,"('Simulation Play', 'Random')",Draw,None,9,2,"['X', 'X', 'O', 'O', 'X', 'X', 'X', 'O', 'O']"
1444,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'O', 'X', 'X', ' ', 'O', 'X', ' ']"
1445,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', ' ', 'O', 'O', ' ', 'O', 'X']"
1446,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'O', 'O', ' ', 'O', 'X', 'X']"
1447,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'X', 'O', 'X', 'O', 'X', 'O', 'O']"
1448,"('Simulation Play', 'Random')",Winner,O,6,2,"['O', 'X', ' ', 'O', ' ', 'X', 'O', 'X', ' ']"
1449,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'O', 'X', ' ', 'O', 'X', 'O', ' ']"
1450,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'O', 'X', 'X', 'O', 'X', 'O', 'X']"
1451,"('Simulation Play', 'Random')",Winner,X,5,2,"['X', 'X', 'X', 'O', ' ', ' ', ' ', ' ', 'O']"
1452,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', ' ', 'O', 'X', 'O', 'O', 'X', ' ']"
1453,"('Simulation Play', 'Random')",Winner,X,7,2,"[' ', 'X', 'X', 'O', ' ', 'X', 'O', 'O', 'X']"
1454,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'O', 'X', 'X', 'O', 'O', 'X']"
1455,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'X', 'X', 'O', 'O', 'X']"
1456,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', ' ', 'X', 'X', 'X', ' ', 'O', 'O']"
1457,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', 'X', 'O', 'X', 'O', 'X', ' ']"
1458,"('Simulation Play', 'Random')",Winner,X,7,2,"[' ', 'X', 'X', ' ', 'X', 'O', 'O', 'X', 'O']"
1459,"('Simulation Play', 'Random')",Winner,O,6,2,"['O', 'X', ' ', ' ', 'O', 'X', 'X', ' ', 'O']"
1460,"('Simulation Play', 'Random')",Winner,X,5,2,"['X', 'X', 'X', 'O', ' ', ' ', 'O', ' ', ' ']"
1461,"('Simulation Play', 'Random')",Winner,O,8,2,"[' ', 'X', 'X', 'O', 'O', 'O', 'X', 'O', 'X']"
1462,"('Simulation Play', 'Random')",Draw,None,9,2,"['X', 'X', 'O', 'O', 'O', 'X', 'X', 'X', 'O']"
1463,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'X', 'X', 'O', 'O', 'O', 'X', 'O']"
1464,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'X', 'O', 'O', 'X', 'X']"
1465,"('Simulation Play', 'Random')",Winner,X,5,2,"['X', 'X', 'X', ' ', ' ', 'O', ' ', 'O', ' ']"
1466,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'O', 'O', 'O', 'X', 'X']"
1467,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'X', 'X', 'O', 'X', 'O', 'O', 'X']"
1468,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'X', 'O', 'O', 'X', 'O', 'X', 'O']"
1469,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'O', 'X', 'X', 'O', 'X', 'O']"
1470,"('Simulation Play', 'Random')",Winner,X,7,2,"['X', 'X', 'X', 'O', 'O', 'X', 'O', ' ', ' ']"
1471,"('Simulation Play', 'Random')",Winner,O,8,2,"[' ', 'X', 'X', 'O', 'O', 'O', 'O', 'X', 'X']"
1472,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'O', 'O', 'X', 'X', 'X']"
1473,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'X', ' ', 'X', 'O', 'X', 'O', ' ']"
1474,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', ' ', 'O', 'X', 'O', ' ', 'X', 'X']"
1475,"('Simulation Play', 'Random')",Draw,None,9,2,"['O', 'X', 'X', 'X', 'O', 'O', 'O', 'X', 'X']"
1476,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', 'X', 'O', ' ', 'X', 'X', 'O']"
1477,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'O', 'X', 'O', 'X', 'X', 'X']"
1478,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'X', 'X', 'X', 'O', 'O', 'X']"
1479,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'O', 'O', ' ', 'X', 'O', 'X', 'X']"
1480,"('Simulation Play', 'Random')",Winner,X,7,2,"['O', 'X', 'O', 'O', ' ', ' ', 'X', 'X', 'X']"
1481,"('Simulation Play', 'Random')",Winner,X,5,2,"[' ', 'X', 'O', ' ', 'X', ' ', 'O', 'X', ' ']"
1482,"('Simulation Play', 'Random')",Draw,None,9,2,"['X', 'X', 'O', 'O', 'O', 'X', 'X', 'O', 'X']"
1483,"('Simulation Play', 'Random')",Winner,X,5,2,"['X', 'X', 'X', ' ', ' ', ' ', 'O', ' ', 'O']"
1484,"('Simulation Play', 'Random')",Winner,X,9,2,"['O', 'X', 'O', 'O', 'O', 'X', 'X', 'X', 'X']"
1485,"('Simulation Play', 'Random')",Winner,O,8,2,"[' ', 'X', 'O', 'X', 'O', 'O', 'X', 'X', 'O']"
1486,"('Simulation Play', 'Random')",Winner,X,9,2,"['X', 'X', 'O', 'X', 'O', 'X', 'X', 'O', 'O']"
1487,"('Simulation Play', 'Random')",Winner,O,8,2,"['X', 'X', 'O', 'X', 'X', 'O', 'O', ' ', 'O']"
1488,"('Simulation Play', 'Random')",Winner,O,6,2,"['O', 'X', ' ', 'O', ' ', ' ', 'O', 'X', 'X']"
1489,"('Simulation Play', 'Random')",Winner,O,8,2,"['O', 'X', 'X', 'O', ' ', 'X', 'O', 'X', 'O']"
